instance,size,best_known,Random_best,Random_mean,Random_rpd_best,Random_rpd_mean,NEH_best,NEH_mean,NEH_rpd_best,NEH_rpd_mean,NEH+LS_best,NEH+LS_mean,NEH+LS_rpd_best,NEH+LS_rpd_mean,SA_best,SA_mean,SA_rpd_best,SA_rpd_mean,Tabu_best,Tabu_mean,Tabu_rpd_best,Tabu_rpd_mean,GA_best,GA_mean,GA_rpd_best,GA_rpd_mean
ta001,20x5,1278,1319,1323.3,3.21,3.55,1286,1286,0.63,0.63,1286,1286,0.63,0.63,1278,1280.7,0.0,0.21,1278,1283.3,0.0,0.42,1282,1284.7,0.31,0.52
ta002,20x5,1359,1368,1376,0.66,1.25,1365,1365,0.44,0.44,1365,1365,0.44,0.44,1360,1362.7,0.07,0.27,1365,1365,0.44,0.44,1365,1365,0.44,0.44
ta003,20x5,1081,1182,1191,9.34,10.18,1140,1140,5.46,5.46,1132,1132,4.72,4.72,1088,1091.3,0.65,0.96,1091,1095.7,0.93,1.36,1098,1104,1.57,2.13
ta004,20x5,1293,1396,1413,7.97,9.28,1325,1325,2.47,2.47,1302,1302,0.7,0.7,1293,1295.3,0.0,0.18,1299,1299.3,0.46,0.49,1297,1301,0.31,0.62
ta005,20x5,1235,1296,1307,4.94,5.83,1305,1305,5.67,5.67,1258,1258,1.86,1.86,1244,1246,0.73,0.89,1250,1255.3,1.21,1.65,1258,1258,1.86,1.86
ta006,20x5,1195,1279,1289.7,7.03,7.92,1228,1228,2.76,2.76,1224,1224,2.43,2.43,1195,1200,0.0,0.42,1210,1210,1.26,1.26,1210,1210.7,1.26,1.31
ta007,20x5,1234,1283,1288.7,3.97,4.43,1278,1278,3.57,3.57,1251,1251,1.38,1.38,1247,1249,1.05,1.22,1251,1251,1.38,1.38,1251,1251,1.38,1.38
ta008,20x5,1206,1296,1305.3,7.46,8.24,1235,1235,2.4,2.4,1212,1212,0.5,0.5,1206,1209.7,0.0,0.3,1211,1211,0.41,0.41,1211,1211.7,0.41,0.47
ta009,20x5,1230,1309,1320.3,6.42,7.34,1291,1291,4.96,4.96,1273,1273,3.5,3.5,1230,1230,0.0,0.0,1237,1248,0.57,1.46,1255,1262,2.03,2.6
ta010,20x5,1108,1175,1189.7,6.05,7.37,1151,1151,3.88,3.88,1151,1151,3.88,3.88,1108,1110,0.0,0.18,1108,1119.7,0.0,1.05,1108,1122.3,0.0,1.29
ta011,20x10,1582,1709,1737,8.03,9.8,1680,1680,6.19,6.19,1608,1608,1.64,1.64,1596,1604.3,0.88,1.41,1599,1603.7,1.07,1.37,1586,1606.7,0.25,1.56
ta012,20x10,1659,1811,1822.3,9.16,9.85,1786,1786,7.66,7.66,1715,1715,3.38,3.38,1689,1690.7,1.81,1.91,1676,1692.3,1.02,2.01,1681,1707,1.33,2.89
ta013,20x10,1496,1654,1656.3,10.56,10.72,1557,1557,4.08,4.08,1505,1505,0.6,0.6,1516,1521,1.34,1.67,1519,1523.7,1.54,1.85,1505,1512.3,0.6,1.09
ta014,20x10,1377,1541,1546,11.91,12.27,1450,1450,5.3,5.3,1407,1407,2.18,2.18,1387,1395,0.73,1.31,1408,1410,2.25,2.4,1405,1411,2.03,2.47
ta015,20x10,1419,1593,1597.3,12.26,12.57,1502,1502,5.85,5.85,1470,1470,3.59,3.59,1441,1447.3,1.55,2.0,1463,1465.7,3.1,3.29,1453,1461.7,2.4,3.01
ta016,20x10,1397,1524,1536.7,9.09,10.0,1453,1453,4.01,4.01,1421,1421,1.72,1.72,1411,1416.3,1.0,1.38,1419,1423.7,1.57,1.91,1424,1430,1.93,2.36
ta017,20x10,1484,1607,1619.3,8.29,9.12,1562,1562,5.26,5.26,1526,1526,2.83,2.83,1486,1495.7,0.13,0.79,1526,1526,2.83,2.83,1526,1526,2.83,2.83
ta018,20x10,1538,1705,1708.7,10.86,11.1,1609,1609,4.62,4.62,1593,1593,3.58,3.58,1554,1559.7,1.04,1.41,1571,1578,2.15,2.6,1576,1577,2.47,2.54
ta019,20x10,1593,1724,1727.7,8.22,8.45,1647,1647,3.39,3.39,1647,1647,3.39,3.39,1614,1621,1.32,1.76,1614,1614,1.32,1.32,1614,1614.3,1.32,1.34
ta020,20x10,1591,1742,1753,9.49,10.18,1653,1653,3.9,3.9,1636,1636,2.83,2.83,1613,1616.3,1.38,1.59,1636,1636,2.83,2.83,1636,1636,2.83,2.83
